scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_susceptibility_index,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,baseline_abs_score,exposure_quality_score,exposure_quality_z,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___conscription_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___defense_spending_increase_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,primary_moderator_value,primary_moderator_z,attack_x_primary_moderator,moderator_z,attack_x_moderator
scenario_0001,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,687.0,720.0,33.0,profile_candidate_0018,0.62,0.6,0.7,True,True,0.8,0.7,False,True,0.8,0.8,False,True,False,False,37.0,9.469,15.316,11.897,12.445,2.123,8.584,9.972,70.056,78.683,76.361,81.518,99.404,82.941,81.494,16.477,11.449,23.742,33.025,2.358,35.633,20.447,0.0,11.426,0.0,15.698,6.96,13.325,7.902,94.636,82.454,96.097,97.526,100.0,90.814,93.588,0.1957,0.8043,0.0,0.0,1.0,687.0,0.64,-2.2468432018065023,0.0,0.0,0.0,0.1957,-2.133546209412545,-2.133546209412545,-2.133546209412545,-2.133546209412545
scenario_0002,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-342.0,-300.0,42.0,profile_candidate_0004,0.62,0.8,0.9,False,True,0.8,0.7,False,True,0.8,0.9,False,False,False,False,66.0,71.755,69.48,89.774,78.249,59.181,55.099,70.59,48.682,58.943,46.004,58.986,58.938,64.119,55.945,55.989,46.321,38.3,61.841,34.098,51.849,48.066,27.451,18.621,8.353,19.283,30.062,32.979,22.792,92.583,72.685,88.784,73.866,74.123,69.857,78.649,0.2691,0.7309,0.0,0.0,1.0,342.0,0.7733333333333333,2.213391441978114,1.0,0.0,0.0,0.2691,-1.571552734431365,-1.571552734431365,-1.571552734431365,-1.571552734431365
scenario_0003,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,650.0,720.0,70.0,profile_candidate_0011,0.62,0.7,0.6,True,True,0.7,0.6,False,False,0.8,0.7,False,True,False,False,40.0,48.229,39.465,53.4,49.258,47.069,61.728,49.858,70.302,66.81,71.247,60.3,57.568,60.137,64.394,89.361,100.0,96.628,89.78,92.344,100.0,94.686,33.854,26.786,32.527,30.232,24.514,22.601,28.419,76.368,98.155,85.212,93.044,100.0,83.051,89.305,0.3276,0.6724,0.0,0.0,1.0,650.0,0.64,-2.2468432018065023,0.0,1.0,0.0,0.3276,-1.1236424035539934,-1.1236424035539934,-1.1236424035539934,-1.1236424035539934
scenario_0004,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,687.0,64.0,profile_candidate_0072,0.62,0.8,0.9,False,True,0.8,0.8,False,True,0.8,0.8,False,True,False,False,39.0,52.654,35.901,56.496,42.073,34.949,32.602,42.446,57.582,55.217,60.748,72.161,60.431,67.683,62.304,52.04,39.971,29.541,37.561,48.928,46.192,42.372,5.553,22.389,30.584,28.168,19.447,3.189,18.222,31.145,43.99,34.556,32.42,28.808,22.038,32.16,0.3466,0.6534,0.0,0.0,1.0,623.0,0.7733333333333333,2.213391441978114,0.0,0.0,1.0,0.3466,-0.978167253354505,-0.978167253354505,-0.978167253354505,-0.978167253354505
scenario_0005,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,587.0,-36.0,profile_candidate_0002,0.62,0.7,0.8,False,True,0.8,0.8,False,True,0.8,0.9,False,True,False,False,46.0,29.266,32.285,31.914,38.736,28.826,18.865,29.982,47.212,28.888,19.885,32.484,36.817,33.636,33.154,57.409,53.506,54.933,39.477,50.754,64.297,53.396,15.91,22.254,9.183,31.593,24.297,8.012,18.542,72.228,55.684,51.446,48.065,70.131,58.533,59.348,0.3762,0.6238,0.0,1.0,0.0,623.0,0.7066666666666667,-0.0167258799141941,0.0,0.0,0.0,0.3762,-0.7515322825174081,-0.7515322825174081,-0.7515322825174081,-0.7515322825174081
scenario_0006,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,42.0,28.0,-14.0,profile_candidate_0052,0.62,0.7,0.8,False,True,0.7,0.6,False,True,0.8,0.7,False,True,False,False,34.0,51.005,41.821,39.562,49.839,44.085,42.35,44.777,61.737,48.705,59.61,66.683,55.05,60.324,58.685,63.007,56.35,65.369,60.494,64.333,68.021,62.929,30.803,24.069,20.402,28.668,21.968,33.544,26.576,67.226,42.673,43.984,40.354,44.837,68.929,51.334,0.3865,0.6135,0.0,0.0,1.0,42.0,0.7066666666666667,-0.0167258799141941,1.0,0.0,0.0,0.3865,-0.6726694379355801,-0.6726694379355801,-0.6726694379355801,-0.6726694379355801
scenario_0007,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,67.0,112.0,45.0,profile_candidate_0062,0.62,0.7,0.8,False,True,0.8,0.8,False,True,0.2,0.3,True,True,False,False,58.0,44.038,38.698,55.112,43.848,40.265,51.537,45.583,36.583,46.831,27.089,50.724,40.363,42.464,40.676,75.95,62.726,72.775,63.25,71.066,67.282,68.841,26.53,44.751,42.011,57.324,42.864,34.709,41.365,73.041,92.659,87.255,80.336,86.222,92.746,85.377,0.4041,0.5959,0.0,0.0,1.0,67.0,0.7066666666666667,-0.0167258799141941,0.0,1.0,0.0,0.4041,-0.5379135093297385,-0.5379135093297385,-0.5379135093297385,-0.5379135093297385
scenario_0008,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,280.0,63.0,profile_candidate_0049,0.62,0.7,0.8,False,True,0.0,0.0,True,True,0.3,0.4,True,True,False,False,78.0,98.874,71.864,80.357,67.454,82.548,91.586,82.114,7.323,20.14,13.498,2.485,10.192,7.702,10.223,40.793,54.799,51.903,54.962,53.369,50.697,51.087,30.476,22.942,41.795,36.643,40.218,21.023,32.183,35.1,30.067,16.992,34.151,29.192,38.477,30.663,0.4436,0.5564,1.0,0.0,0.0,217.0,0.7066666666666667,-0.0167258799141941,0.0,0.0,1.0,0.4436,-0.2354783286518554,-0.2354783286518554,-0.2354783286518554,-0.2354783286518554
scenario_0009,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,400.0,-50.0,profile_candidate_0068,0.62,0.7,0.8,False,True,0.7,0.8,False,False,0.8,0.7,False,False,False,False,44.0,81.442,83.294,60.044,77.103,86.727,67.937,76.091,11.966,13.901,10.472,4.225,19.836,14.315,12.453,43.972,44.18,36.05,46.873,37.672,47.727,42.745,26.59,20.128,21.083,26.42,23.529,16.51,22.376,52.803,47.124,50.678,34.803,52.316,38.59,46.052,0.4635,0.5365,1.0,0.0,0.0,450.0,0.7066666666666667,-0.0167258799141941,0.0,0.0,0.0,0.4635,-0.0831122502850229,-0.0831122502850229,-0.0831122502850229,-0.0831122502850229
scenario_0010,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-487.0,-420.0,67.0,profile_candidate_0043,0.62,0.7,0.8,False,False,0.8,0.7,False,True,0.0,0.0,True,True,False,False,61.0,26.448,11.91,33.601,22.697,14.867,41.108,25.105,78.536,86.455,92.714,82.535,82.628,78.56,83.571,81.323,83.012,89.81,91.106,83.445,90.836,86.589,79.529,74.12,64.591,79.676,67.875,72.296,73.014,28.021,39.588,51.257,33.441,37.499,52.224,40.338,0.4768,0.5232,1.0,0.0,0.0,487.0,0.7066666666666667,-0.0167258799141941,1.0,0.0,0.0,0.4768,0.0187203548546185,0.0187203548546185,0.0187203548546185,0.0187203548546185
