Feature,Ontology family,Ontology group,Community
Social Context Social Capital Interpersonal Trust %,Social Context,Social Context: Social Capital,0
Political Psychology Institutional Trust Government Trust %,Political Psychology,Political Psychology: Institutional Trust,0
Platform Primary Type Facebook Dominant,Social Context,Social Context: Online Behavior,1
Big Five Neuroticism Impulsiveness %,Big Five,Big Five: Neuroticism,0
Political Psychology Institutional Trust Satisfaction With Democracy %,Political Psychology,Political Psychology: Institutional Trust,0
Employment Type Employed Part Time,Socioeconomic Status,Socioeconomic Status: Employment,4
Platform Primary Type Twitter X Dominant,Social Context,Social Context: Online Behavior,0
Employment Type Employed Full Time,Socioeconomic Status,Socioeconomic Status: Employment,0
Political Psychology Political Engagement Civic Participation %,Political Psychology,Political Psychology: Engagement,3
Big Five Conscientiousness Self Discipline %,Big Five,Big Five: Conscientiousness,2
Social Context Social Capital Community Belonging %,Social Context,Social Context: Social Capital,0
Education Level Doctoral Equivalent,Demographics,Demographics: Education,4
Big Five Neuroticism Mean %,Big Five,Big Five: Neuroticism,0
Big Five Neuroticism Stress Vulnerability %,Big Five,Big Five: Neuroticism,0
Employment Type Student,Socioeconomic Status,Socioeconomic Status: Employment,4
Education Level Primary Or Less,Demographics,Demographics: Education,4
Big Five Conscientiousness Deliberation %,Big Five,Big Five: Conscientiousness,2
Big Five Neuroticism Self Consciousness %,Big Five,Big Five: Neuroticism,0
Political Psychology Institutional Trust Mainstream Media Trust %,Political Psychology,Political Psychology: Institutional Trust,0
Social Context Online Behavior Information Echo Chamber %,Social Context,Social Context: Online Behavior,3
