scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_susceptibility_index,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,primary_moderator_value,primary_moderator_z,attack_x_primary_moderator,moderator_z,attack_x_moderator
scenario_0001,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Increase_Support,Immigration_and_Citizenship,Immigration_Level_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,312.0,370.0,58.0,profile_0020,0.62,0.8,0.9,False,True,0.8,0.9,False,True,0.8,0.7,False,True,False,False,44.0,0.871,25.435,16.604,12.994,13.736,9.71,13.225,65.458,64.8,63.613,72.669,64.748,84.315,69.267,23.209,37.797,39.325,43.192,31.156,16.841,31.92,21.356,3.876,9.315,6.239,18.615,1.976,10.229,86.939,86.496,83.156,85.491,80.887,87.896,85.144,0.2277,0.7723,0.0,1.0,0.0,0.2277,-2.4685717979414448,-2.4685717979414448,-2.4685717979414448,-2.4685717979414448
scenario_0002,Issue_Position_Taxonomy > Immigration_and_Citizenship > Immigration_Level_Decrease_Support,Immigration_and_Citizenship,Immigration_Level_Decrease_Support,0,CONTROL_NONE,123.0,123.0,0.0,profile_0003,0.0,0.0,0.0,False,True,0.0,0.0,True,True,1.0,1.0,False,True,False,False,40.0,64.913,74.829,62.169,63.752,72.693,73.152,68.585,65.44,59.917,74.916,75.982,64.419,64.738,67.569,65.124,73.566,80.469,64.476,53.433,57.795,65.81,28.795,29.477,22.311,26.893,26.306,40.47,29.042,34.526,13.582,34.393,24.21,31.241,14.127,25.346,0.3864,0.6136,0.0,0.0,1.0,0.3864,-0.945715704441582,-0.0,-0.945715704441582,-0.0
scenario_0003,Issue_Position_Taxonomy > Immigration_and_Citizenship > Refugee_Acceptance_Support,Immigration_and_Citizenship,Refugee_Acceptance_Support,0,CONTROL_NONE,523.0,523.0,0.0,profile_0011,0.0,0.0,0.0,False,True,0.8,0.9,False,True,1.0,1.0,False,True,False,False,43.0,61.926,81.154,85.857,76.82,91.468,87.165,80.732,98.515,76.475,84.116,79.587,84.016,89.076,85.297,78.138,69.104,82.459,76.642,44.925,72.064,70.555,41.782,53.24,48.793,41.994,53.735,47.569,47.852,49.244,61.616,59.078,46.205,50.339,61.009,54.582,0.39,0.61,0.0,1.0,0.0,0.39,-0.9111707647024548,-0.0,-0.9111707647024548,-0.0
scenario_0004,Issue_Position_Taxonomy > Immigration_and_Citizenship > Asylum_Process_Expansion_Support,Immigration_and_Citizenship,Asylum_Process_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,672.0,49.0,profile_0004,0.68,0.8,0.9,False,True,0.8,0.8,False,True,0.8,0.9,False,True,False,False,34.0,81.102,84.993,67.388,65.105,69.356,80.889,74.805,41.348,57.674,83.342,49.513,62.506,65.003,59.898,76.541,67.327,70.523,54.276,71.673,69.35,68.282,0.844,26.707,33.746,26.499,32.666,24.814,24.213,31.931,9.222,27.471,36.613,44.308,25.987,29.255,0.395,0.605,0.0,0.0,1.0,0.395,-0.8631916817314444,-0.8631916817314444,-0.8631916817314444,-0.8631916817314444
scenario_0005,Issue_Position_Taxonomy > Immigration_and_Citizenship > Border_Enforcement_Expansion_Support,Immigration_and_Citizenship,Border_Enforcement_Expansion_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,217.0,289.0,72.0,profile_0001,0.62,0.8,0.9,False,True,0.8,0.7,False,True,0.7,0.6,False,True,False,False,59.0,30.414,12.243,27.345,24.839,30.684,29.255,25.797,30.048,35.167,16.988,42.645,30.291,20.811,29.325,84.018,84.664,100.0,65.665,74.115,81.6,81.677,37.695,40.643,49.477,37.117,26.771,21.739,35.574,84.95,90.39,79.564,85.41,88.646,86.279,85.873,0.4034,0.5966,0.0,0.0,1.0,0.4034,-0.7825868223401478,-0.7825868223401478,-0.7825868223401478,-0.7825868223401478
scenario_0006,Issue_Position_Taxonomy > Immigration_and_Citizenship > Pathway_to_Citizenship_Support,Immigration_and_Citizenship,Pathway_to_Citizenship_Support,0,CONTROL_NONE,53.0,53.0,0.0,profile_0015,0.0,0.0,0.0,False,True,0.7,0.8,False,True,1.0,1.0,False,True,False,False,18.0,23.405,12.661,20.407,17.571,15.397,32.432,20.312,26.636,42.72,36.448,33.218,14.757,32.13,30.985,46.143,25.955,38.444,30.195,40.094,39.686,36.753,0.0,3.074,10.316,4.468,15.483,12.373,7.619,56.194,46.339,52.358,33.118,41.184,39.574,44.795,0.417,0.583,0.0,1.0,0.0,0.417,-0.6520837166590001,-0.0,-0.6520837166590001,-0.0
scenario_0007,Issue_Position_Taxonomy > Immigration_and_Citizenship > Temporary_Work_Visas_Expansion_Support,Immigration_and_Citizenship,Temporary_Work_Visas_Expansion_Support,0,CONTROL_NONE,523.0,523.0,0.0,profile_0014,0.0,0.0,0.0,False,True,0.8,0.9,False,True,1.0,1.0,False,True,False,False,40.0,76.459,62.857,80.959,62.199,82.517,78.321,73.886,37.301,21.681,28.809,24.559,13.971,24.321,25.107,84.025,73.849,97.928,73.26,67.427,78.673,79.194,22.502,20.656,21.495,28.258,15.163,15.186,20.543,31.836,37.359,39.33,39.322,45.96,52.794,41.1,0.4386,0.5614,0.0,0.0,1.0,0.4386,-0.4448140782242361,-0.0,-0.4448140782242361,-0.0
scenario_0008,Issue_Position_Taxonomy > Immigration_and_Citizenship > Family_Reunification_Support,Immigration_and_Citizenship,Family_Reunification_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,678.0,620.0,-58.0,profile_0016,0.62,0.8,0.9,False,True,0.8,0.9,False,True,0.8,0.7,False,True,False,False,40.0,33.802,22.446,11.547,9.369,22.776,5.774,17.619,66.78,73.757,46.996,60.042,64.6,52.033,60.701,48.952,48.366,54.971,62.101,42.116,57.062,52.261,48.201,60.178,51.099,28.938,43.215,65.956,49.598,79.717,68.344,83.73,66.939,71.025,61.352,71.851,0.4496,0.5504,0.0,0.0,1.0,0.4496,-0.3392600956880136,-0.3392600956880136,-0.3392600956880136,-0.3392600956880136
scenario_0009,Issue_Position_Taxonomy > Immigration_and_Citizenship > Birthright_Citizenship_Support,Immigration_and_Citizenship,Birthright_Citizenship_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,457.0,389.0,-68.0,profile_0018,0.62,0.8,0.9,False,True,0.8,0.9,False,True,0.8,0.7,False,True,False,False,24.0,57.672,37.378,53.083,39.034,51.507,55.574,49.041,49.546,58.207,48.552,58.523,48.644,75.668,56.523,59.753,66.694,66.205,72.849,64.822,74.78,67.517,53.922,31.121,39.512,34.899,38.958,33.373,38.631,72.059,69.624,71.709,69.294,73.433,75.787,71.984,0.4505,0.5495,0.0,0.0,1.0,0.4505,-0.3306238607532317,-0.3306238607532317,-0.3306238607532317,-0.3306238607532317
scenario_0010,Issue_Position_Taxonomy > Immigration_and_Citizenship > Multiculturalism_Support,Immigration_and_Citizenship,Multiculturalism_Support,0,CONTROL_NONE,623.0,623.0,0.0,profile_0010,0.0,0.0,0.0,False,True,0.8,0.9,False,True,1.0,1.0,False,True,False,False,25.0,76.66,50.509,69.017,70.649,82.006,62.085,68.488,34.956,26.214,45.068,41.435,40.197,39.094,37.827,48.357,47.197,67.216,65.722,66.446,69.16,60.683,33.524,19.144,42.348,44.549,24.163,38.729,33.743,66.787,69.633,60.606,51.335,54.081,71.058,62.25,0.4825,0.5175,0.0,1.0,0.0,0.4825,-0.0235577297387669,-0.0,-0.0235577297387669,-0.0
