scenario_id,opinion_leaf,opinion_domain,opinion_leaf_label,attack_present,attack_leaf,baseline_score,post_score,delta_score,abs_delta_score,profile_id,exposure_intensity_hint,attack_realism_score,attack_coherence_score,attack_rewrite_required,attack_heuristic_pass,baseline_plausibility_score,baseline_consistency_score,baseline_rewrite_required,baseline_heuristic_pass,post_plausibility_score,post_consistency_score,post_rewrite_required,post_heuristic_pass,baseline_fallback_used,post_fallback_used,scenario_design,profile_panel_index,leaf_repeat_index_within_profile,profile_cont_age_years,profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,profile_cont_big_five_conscientiousness_order_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,profile_cont_big_five_conscientiousness_mean_pct,profile_cont_big_five_extraversion_activity_level_pct,profile_cont_big_five_extraversion_assertiveness_pct,profile_cont_big_five_extraversion_excitement_seeking_pct,profile_cont_big_five_extraversion_gregariousness_pct,profile_cont_big_five_extraversion_positive_emotions_pct,profile_cont_big_five_extraversion_warmth_pct,profile_cont_big_five_extraversion_mean_pct,profile_cont_big_five_neuroticism_anger_hostility_pct,profile_cont_big_five_neuroticism_anxiety_pct,profile_cont_big_five_neuroticism_depression_pct,profile_cont_big_five_neuroticism_impulsiveness_pct,profile_cont_big_five_neuroticism_self_consciousness_pct,profile_cont_big_five_neuroticism_stress_vulnerability_pct,profile_cont_big_five_neuroticism_mean_pct,profile_cont_big_five_openness_to_experience_actions_pct,profile_cont_big_five_openness_to_experience_aesthetics_pct,profile_cont_big_five_openness_to_experience_fantasy_pct,profile_cont_big_five_openness_to_experience_feelings_pct,profile_cont_big_five_openness_to_experience_ideas_pct,profile_cont_big_five_openness_to_experience_values_pct,profile_cont_big_five_openness_to_experience_mean_pct,profile_cont_heuristic_shift_sensitivity_proxy,profile_cont_resilience_index,profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,baseline_abs_score,baseline_extremity_norm,exposure_quality_score,exposure_quality_z,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___conscription_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___defense_spending_increase_support,opinion_leaf_fe_issue_position_taxonomy___defense_and_national_security___strategic_autonomy_support,primary_moderator_value,primary_moderator_z
scenario_00001,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,423.0,450.0,27.0,27.0,profile_0012,0.62,0.7,0.8,False,True,0.7,0.6,True,True,0.7,0.8,False,False,False,False,profile_panel_repeated_attacked_leaves,1,1,64.0,29.118,18.402,28.499,18.412,13.38,16.995,20.801,11.785,3.23,3.844,0.0,0.0,0.0,3.143,81.324,92.538,79.59,93.582,91.21,100.0,89.707,61.901,73.617,72.434,85.483,63.828,71.35,71.436,73.84,86.834,73.721,65.248,75.365,72.942,74.658,0.6289,0.3711,1.0,0.0,0.0,423.0,0.423,0.7066666666666667,0.0666641567018712,0.0,0.0,0.0,64.0,1.308662758224191
scenario_00002,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-683.0,-550.0,133.0,133.0,profile_0012,0.75,0.6,0.7,False,True,0.8,0.7,False,True,0.8,0.7,False,False,False,False,profile_panel_repeated_attacked_leaves,1,2,64.0,29.118,18.402,28.499,18.412,13.38,16.995,20.801,11.785,3.23,3.844,0.0,0.0,0.0,3.143,81.324,92.538,79.59,93.582,91.21,100.0,89.707,61.901,73.617,72.434,85.483,63.828,71.35,71.436,73.84,86.834,73.721,65.248,75.365,72.942,74.658,0.6289,0.3711,1.0,0.0,0.0,683.0,0.683,0.6833333333333332,-0.3842045359677975,1.0,0.0,0.0,64.0,1.308662758224191
scenario_00003,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,423.0,402.0,-21.0,21.0,profile_0012,0.65,0.7,0.8,False,True,0.7,0.8,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,1,3,64.0,29.118,18.402,28.499,18.412,13.38,16.995,20.801,11.785,3.23,3.844,0.0,0.0,0.0,3.143,81.324,92.538,79.59,93.582,91.21,100.0,89.707,61.901,73.617,72.434,85.483,63.828,71.35,71.436,73.84,86.834,73.721,65.248,75.365,72.942,74.658,0.6289,0.3711,1.0,0.0,0.0,423.0,0.423,0.7166666666666668,0.2598935964174452,0.0,1.0,0.0,64.0,1.308662758224191
scenario_00004,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,687.0,723.0,36.0,36.0,profile_0012,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,1,4,64.0,29.118,18.402,28.499,18.412,13.38,16.995,20.801,11.785,3.23,3.844,0.0,0.0,0.0,3.143,81.324,92.538,79.59,93.582,91.21,100.0,89.707,61.901,73.617,72.434,85.483,63.828,71.35,71.436,73.84,86.834,73.721,65.248,75.365,72.942,74.658,0.6289,0.3711,1.0,0.0,0.0,687.0,0.687,0.7066666666666667,0.0666641567018712,0.0,0.0,1.0,64.0,1.308662758224191
scenario_00005,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,623.0,663.0,40.0,40.0,profile_0015,0.62,0.7,0.8,False,True,0.8,0.9,False,True,0.9,0.8,False,True,False,False,profile_panel_repeated_attacked_leaves,2,1,35.0,66.337,63.271,44.297,79.324,66.802,73.81,65.64,90.539,90.757,91.674,100.0,93.258,99.923,94.358,53.691,36.441,47.267,43.798,61.721,46.192,48.185,69.04,85.323,62.701,87.783,94.736,93.425,82.168,0.0,1.527,6.895,12.235,7.919,0.0,4.763,0.5916,0.4084,1.0,0.0,0.0,623.0,0.623,0.7066666666666667,0.0666641567018712,0.0,0.0,0.0,35.0,-0.4581538147972961
scenario_00006,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-423.0,-387.0,36.0,36.0,profile_0015,0.62,0.7,0.8,False,True,0.8,0.7,False,True,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,2,2,35.0,66.337,63.271,44.297,79.324,66.802,73.81,65.64,90.539,90.757,91.674,100.0,93.258,99.923,94.358,53.691,36.441,47.267,43.798,61.721,46.192,48.185,69.04,85.323,62.701,87.783,94.736,93.425,82.168,0.0,1.527,6.895,12.235,7.919,0.0,4.763,0.5916,0.4084,1.0,0.0,0.0,423.0,0.423,0.7066666666666667,0.0666641567018712,1.0,0.0,0.0,35.0,-0.4581538147972961
scenario_00007,Issue_Position_Taxonomy > Defense_and_National_Security > Defense_Spending_Increase_Support,Defense_and_National_Security,Defense_Spending_Increase_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,350.0,380.0,30.0,30.0,profile_0015,0.62,0.7,0.8,False,True,0.7,0.6,False,False,0.8,0.85,False,True,False,False,profile_panel_repeated_attacked_leaves,2,3,35.0,66.337,63.271,44.297,79.324,66.802,73.81,65.64,90.539,90.757,91.674,100.0,93.258,99.923,94.358,53.691,36.441,47.267,43.798,61.721,46.192,48.185,69.04,85.323,62.701,87.783,94.736,93.425,82.168,0.0,1.527,6.895,12.235,7.919,0.0,4.763,0.5916,0.4084,1.0,0.0,0.0,350.0,0.35,0.7066666666666667,0.0666641567018712,0.0,1.0,0.0,35.0,-0.4581538147972961
scenario_00008,Issue_Position_Taxonomy > Defense_and_National_Security > Strategic_Autonomy_Support,Defense_and_National_Security,Strategic_Autonomy_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,450.0,520.0,70.0,70.0,profile_0015,0.62,0.7,0.8,False,True,0.7,0.6,False,False,0.8,0.8,False,True,False,False,profile_panel_repeated_attacked_leaves,2,4,35.0,66.337,63.271,44.297,79.324,66.802,73.81,65.64,90.539,90.757,91.674,100.0,93.258,99.923,94.358,53.691,36.441,47.267,43.798,61.721,46.192,48.185,69.04,85.323,62.701,87.783,94.736,93.425,82.168,0.0,1.527,6.895,12.235,7.919,0.0,4.763,0.5916,0.4084,1.0,0.0,0.0,450.0,0.45,0.7066666666666667,0.0666641567018712,0.0,0.0,1.0,35.0,-0.4581538147972961
scenario_00009,Issue_Position_Taxonomy > Defense_and_National_Security > Alliance_Commitment_Support,Defense_and_National_Security,Alliance_Commitment_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,237.0,180.0,-57.0,57.0,profile_0024,0.62,0.7,0.8,False,True,0.7,0.8,False,True,0.3,0.4,True,True,False,False,profile_panel_repeated_attacked_leaves,3,1,18.0,17.319,10.72,21.327,29.796,21.141,22.046,20.391,38.594,35.562,32.3,44.192,30.506,44.097,37.542,39.985,23.913,21.137,37.226,25.67,45.776,32.285,95.453,87.961,64.27,85.081,87.55,90.682,85.166,30.009,43.898,26.657,21.698,38.075,24.073,30.735,0.7637,0.2363,1.0,0.0,0.0,237.0,0.237,0.7066666666666667,0.0666641567018712,0.0,0.0,0.0,18.0,-1.493873874844375
scenario_00010,Issue_Position_Taxonomy > Defense_and_National_Security > Conscription_Support,Defense_and_National_Security,Conscription_Support,1,ATTACK_VECTORS > Social_Media_Misinformation > Misleading_Narrative_Framing,-450.0,-387.0,63.0,63.0,profile_0024,0.62,0.4,0.5,True,True,0.7,0.6,True,False,0.8,0.9,False,True,False,False,profile_panel_repeated_attacked_leaves,3,2,18.0,17.319,10.72,21.327,29.796,21.141,22.046,20.391,38.594,35.562,32.3,44.192,30.506,44.097,37.542,39.985,23.913,21.137,37.226,25.67,45.776,32.285,95.453,87.961,64.27,85.081,87.55,90.682,85.166,30.009,43.898,26.657,21.698,38.075,24.073,30.735,0.7637,0.2363,1.0,0.0,0.0,450.0,0.45,0.5066666666666667,-3.797924637609559,1.0,0.0,0.0,18.0,-1.493873874844375
